DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
0.38,135000,1514
0.31,145000,1807
0.31,103000,2136
0.23,33000,1294
0.26,139000,1416
26.48,18900000,19636
26.48,18900000,19421
26.48,18900000,17693
26.48,18900000,20374
26.48,18900000,19515
26.48,18900000,19515
26.48,18900000,20098
26.48,18900000,20098
26.48,18900000,20098
26.48,18900000,20098
26.48,18900000,20098
26.48,18900000,20098
26.48,18900000,10294
26.48,18900000,20098
26.48,18900000,1608
9.54,1480000,34290
9.54,1480000,10800
9.54,1480000,1897
9.54,1480000,25050
0.2,152500,1349
0.52,180000,1378
2,100000,1050
8,0,0
103.23,0,0
0.7,32000,640
0.06,0,0
0.28,0,0
0.58,150000,3518
4,0,0
0.62,0,1320
1.12,0,2018
0.46,0,1366
1.75,21500,2919
0.36,110000,1050
0.54,70000,1676
0.4,488000,2656
0.36,292500,2898
27.86,107500,4979
0.3,591000,3851
11.21,0,0
97.6,0,0
156.79,0,0
31.2,0,0
16.93,0,2943
4.85,0,2207
2.08,3007000,45472
2.08,3007000,10866
0.51,280000,2055
0.48,0,1066
0.28,40000,1014
0.32,66000,1507
0.13,112000,768
2.36,18000,0
0.27,200000,1782
0.27,141000,1266
82.24,3099000,1679
58.65,0,1248
58.65,0,1232
1.68,260000,2997
1,52000,1572
5.9,0,1244
0.45,1000,0
0.45,40000,2299
2,0,1890
1.5,0,0
0.95,0,1568
0.32,0,2800
0.35,0,0
0.19,0,0
0.37,3000,0
10,0,0
0.5,0,0
0.5,0,1072
0.22,300500,4321
0.6,53500,0
0.18,178000,1280
0.04,151500,2185
0.51,46500,1080
1,135000,1884
3.52,30000,7100
0.5,117500,1281
0.56,100000,1637
0.23,0,744
0.24,338000,2820
0.22,172500,3456
0.12,0,0
0.12,0,0
0.13,0,1198
0.12,0,1304
0.12,0,1176
0.2,330000,2668
0.17,355000,1740
0.18,0,0
0.4,187000,2936
0.06,17500,1145
0.11,72000,1280
0.1,75000,908
0.14,162000,1062
0.05,0,0
10,0,0
82.56,212500,962
82.56,212500,840
82.56,212500,988
82.56,212500,2256
8.99,0,1064
0.1,83000,680
0.37,44000,1161
0.25,110000,1216
3.38,193500,1593
4.12,0,1944
0.42,64500,1066
0.64,199000,2865
0.34,15500,976
0.36,106000,1232
0.28,84000,1075
