PHYSICAL_CITY,DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
RALEIGH,0.87,0,2504
FUQUAY VARINA,16.03,0,36978
FUQUAY VARINA,3.96,0,0
MORRISVILLE,28.79,0,17996
MORRISVILLE,28.79,0,1419
MORRISVILLE,28.79,0,28248
MORRISVILLE,28.79,0,6000
FUQUAY VARINA,5.84,0,0
FUQUAY VARINA,0.17,0,0
FUQUAY VARINA,0.18,0,1536
RALEIGH,0.15,55000,676
HOLLY SPRINGS,61.21,0,3496
HOLLY SPRINGS,61.21,0,768
RALEIGH,0.11,28800,912
RALEIGH,0.15,165000,1146
RALEIGH,1,0,1452
HOLLY SPRINGS,0.45,0,1216
RALEIGH,2.24,158000,1787
GARNER,1.03,0,0
RALEIGH,1.51,174000,1863
KNIGHTDALE,49.02,0,1856
KNIGHTDALE,3,100000,1352
RALEIGH,0.24,27500,1176
KNIGHTDALE,74.44,0,0
KNIGHTDALE,0.45,125000,1161
KNIGHTDALE,0.45,0,0
RALEIGH,0.33,117000,1050
RALEIGH,0.46,110000,1566
RALEIGH,0.48,122000,1014
RALEIGH,0.11,120000,1226
RALEIGH,0.1,150000,1721
RALEIGH,1.44,0,2030
RALEIGH,0.16,265000,1257
RALEIGH,0.16,166000,1273
RALEIGH,9.06,0,0
WAKE FOREST,0.25,1000,0
WAKE FOREST,0.17,4000,0
WAKE FOREST,0.28,0,2600
RALEIGH,0.21,116000,0
KNIGHTDALE,0.52,0,1080
RALEIGH,1.1,0,0
RALEIGH,0.92,6000,900
RALEIGH,0.45,0,1918
RALEIGH,0.46,0,1051
WILLOW SPRING,28.7,0,0
WILLOW SPRING,15.57,0,0
FUQUAY VARINA,86.66,0,0
HOLLY SPRINGS,87.89,0,0
RALEIGH,0.14,10000,1453
RALEIGH,31.25,0,0
RALEIGH,1.27,0,139445
RALEIGH,1.27,0,111556
RALEIGH,1.27,0,11690
RALEIGH,1.27,0,5356
WILLOW SPRING,10.39,0,1288
RALEIGH,0.11,0,1820
APEX,0.43,190000,2134
WILLOW SPRING,7.4,0,2655
HOLLY SPRINGS,10.11,0,0
RALEIGH,0.04,25000,554
RALEIGH,0.07,19500,686
RALEIGH,0.1,20900,608
RALEIGH,0.07,26500,736
RALEIGH,0.14,209000,920
RALEIGH,0.13,0,0
RALEIGH,0.07,21500,716
RALEIGH,0.33,325000,3403
RALEIGH,1.95,0,2943
ZEBULON,0.17,58000,0
RALEIGH,0.18,0,1095
CARY,0.47,0,1875
HOLLY SPRINGS,4.28,0,0
RALEIGH,0.56,4000,1136
WILLOW SPRING,1.34,0,728
RALEIGH,2.84,535000,5592
RALEIGH,0.33,252000,1983
CARY,0.27,159000,1607
WENDELL,0.48,0,1144
RALEIGH,0.16,0,0
RALEIGH,0.92,385000,2520
HOLLY SPRINGS,0.47,85000,1168
RALEIGH,0.19,36000,954
HOLLY SPRINGS,14.71,0,1206
RALEIGH,0.16,107000,774
RALEIGH,0.72,0,1739
WILLOW SPRING,21.86,68000,0
RALEIGH,0.21,0,924
CARY,0.58,650000,2295
CARY,0.58,650000,726
GARNER,0.48,103000,1555
RALEIGH,0.47,0,1561
RALEIGH,0.64,0,1836
WILLOW SPRING,34.13,0,1956
WILLOW SPRING,0.8,106000,1416
RALEIGH,0.22,617800,4076
ROLESVILLE,0.28,87500,1350
RALEIGH,58.73,0,4561
RALEIGH,58.73,0,2560
RALEIGH,58.73,0,3112
RALEIGH,58.73,0,1248
RALEIGH,58.73,0,8136
RALEIGH,58.73,0,960
RALEIGH,58.73,0,1200
RALEIGH,58.73,0,2217
RALEIGH,58.73,0,1360
RALEIGH,58.73,0,24407
WILLOW SPRING,57.5,76500,1572
WILLOW SPRING,57.5,76500,1560
WILLOW SPRING,57.5,76500,1568
WILLOW SPRING,57.5,76500,1033
WILLOW SPRING,57.5,76500,5674
WILLOW SPRING,57.5,76500,1527
WILLOW SPRING,57.5,76500,3544
WILLOW SPRING,57.5,76500,3872
CARY,0.25,0,1630
WILLOW SPRING,6.14,0,1575
FUQUAY VARINA,0.24,146000,1146
RALEIGH,0.52,0,1164
RALEIGH,0.45,0,1800
RALEIGH,0.33,0,0
RALEIGH,0.46,0,0
WILLOW SPRING,14.35,0,1748
WILLOW SPRING,14.35,0,1244
WILLOW SPRING,14.35,0,896
WILLOW SPRING,59.47,0,0
APEX,94,0,0
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,11871
RALEIGH,18.28,0,2496
RALEIGH,0.33,169000,1893
RALEIGH,0.54,131000,2148
RALEIGH,0.38,135000,1514
RALEIGH,0.31,145000,1807
RALEIGH,0.31,103000,2136
RALEIGH,0.23,33000,1294
RALEIGH,0.26,139000,1416
RALEIGH,26.48,18900000,19636
RALEIGH,26.48,18900000,19421
RALEIGH,26.48,18900000,17693
RALEIGH,26.48,18900000,20374
RALEIGH,26.48,18900000,19515
RALEIGH,26.48,18900000,19515
RALEIGH,26.48,18900000,20098
RALEIGH,26.48,18900000,20098
RALEIGH,26.48,18900000,20098
RALEIGH,26.48,18900000,20098
RALEIGH,26.48,18900000,20098
RALEIGH,26.48,18900000,20098
RALEIGH,26.48,18900000,10294
RALEIGH,26.48,18900000,20098
RALEIGH,26.48,18900000,1608
RALEIGH,9.54,1480000,34290
RALEIGH,9.54,1480000,10800
RALEIGH,9.54,1480000,1897
RALEIGH,9.54,1480000,25050
RALEIGH,0.2,152500,1349
RALEIGH,0.52,180000,1378
WAKE FOREST,2,100000,1050
WAKE FOREST,8,0,0
WILLOW SPRING,103.23,0,0
FUQUAY VARINA,0.7,32000,640
FUQUAY VARINA,0.06,0,0
WILLOW SPRING,0.28,0,0
RALEIGH,0.58,150000,3518
WAKE FOREST,4,0,0
CARY,0.62,0,1320
HOLLY SPRINGS,1.12,0,2018
RALEIGH,0.46,0,1366
RALEIGH,1.75,21500,2919
RALEIGH,0.36,110000,1050
RALEIGH,0.54,70000,1676
RALEIGH,0.4,488000,2656
RALEIGH,0.36,292500,2898
RALEIGH,27.86,107500,4979
RALEIGH,0.3,591000,3851
WILLOW SPRING,11.21,0,0
RALEIGH,97.6,0,0
RALEIGH,156.79,0,0
RALEIGH,31.2,0,0
FUQUAY VARINA,16.93,0,2943
WILLOW SPRING,4.85,0,2207
RALEIGH,2.08,3007000,45472
RALEIGH,2.08,3007000,10866
RALEIGH,0.51,280000,2055
GARNER,0.48,0,1066
GARNER,0.28,40000,1014
RALEIGH,0.32,66000,1507
RALEIGH,0.13,112000,768
RALEIGH,2.36,18000,0
RALEIGH,0.27,200000,1782
RALEIGH,0.27,141000,1266
APEX,82.24,3099000,1679
RALEIGH,58.65,0,1248
RALEIGH,58.65,0,1232
RALEIGH,1.68,260000,2997
RALEIGH,1,52000,1572
RALEIGH,5.9,0,1244
RALEIGH,0.45,1000,0
RALEIGH,0.45,40000,2299
WILLOW SPRING,2,0,1890
RALEIGH,1.5,0,0
ANGIER,0.95,0,1568
RALEIGH,0.32,0,2800
RALEIGH,0.35,0,0
RALEIGH,0.19,0,0
RALEIGH,0.37,3000,0
WENDELL,10,0,0
HOLLY SPRINGS,0.5,0,0
HOLLY SPRINGS,0.5,0,1072
RALEIGH,0.22,300500,4321
KNIGHTDALE,0.6,53500,0
RALEIGH,0.18,178000,1280
RALEIGH,0.04,151500,2185
GARNER,0.51,46500,1080
WENDELL,1,135000,1884
WENDELL,3.52,30000,7100
WENDELL,0.5,117500,1281
KNIGHTDALE,0.56,100000,1637
RALEIGH,0.23,0,744
RALEIGH,0.24,338000,2820
RALEIGH,0.22,172500,3456
RALEIGH,0.12,0,0
RALEIGH,0.12,0,0
RALEIGH,0.13,0,1198
RALEIGH,0.12,0,1304
RALEIGH,0.12,0,1176
RALEIGH,0.2,330000,2668
RALEIGH,0.17,355000,1740
RALEIGH,0.18,0,0
WAKE FOREST,0.4,187000,2936
RALEIGH,0.06,17500,1145
RALEIGH,0.11,72000,1280
RALEIGH,0.1,75000,908
RALEIGH,0.14,162000,1062
RALEIGH,0.05,0,0
WENDELL,10,0,0
RALEIGH,82.56,212500,962
RALEIGH,82.56,212500,840
RALEIGH,82.56,212500,988
RALEIGH,82.56,212500,2256
WILLOW SPRING,8.99,0,1064
HOLLY SPRINGS,0.1,83000,680
FUQUAY VARINA,0.37,44000,1161
RALEIGH,0.25,110000,1216
RALEIGH,3.38,193500,1593
HOLLY SPRINGS,4.12,0,1944
GARNER,0.42,64500,1066
RALEIGH,0.64,199000,2865
RALEIGH,0.34,15500,976
FUQUAY VARINA,0.36,106000,1232
RALEIGH,0.28,84000,1075
RALEIGH,0.34,27000,1035
HOLLY SPRINGS,0.17,0,0
WENDELL,0.17,0,0
RALEIGH,2.3,0,1206
CARY,0.32,157000,1558
WILLOW SPRING,1,80000,1504
RALEIGH,0.55,65500,2864
RALEIGH,0.41,100000,1263
RALEIGH,0.5,1000,1904
HOLLY SPRINGS,0.23,0,1196
RALEIGH,0.28,82000,1092
FUQUAY VARINA,0.32,111000,1119
RALEIGH,0.31,5000,1418
RALEIGH,0.38,169000,2173
RALEIGH,0.44,0,2256
RALEIGH,0.54,70000,1446
FUQUAY VARINA,0.2,0,1360
RALEIGH,0.39,0,0
RALEIGH,0.46,0,0
WILLOW SPRING,45.84,0,0
RALEIGH,0.47,41000,1157
RALEIGH,42.99,0,1366
WILLOW SPRING,69.18,0,2643
WILLOW SPRING,26.91,0,0
WILLOW SPRING,1.25,95000,768
WILLOW SPRING,1.25,95000,1053
WILLOW SPRING,1.25,95000,765
WILLOW SPRING,1.25,95000,1280
WILLOW SPRING,0.33,17500,2200
WILLOW SPRING,1.43,127000,1824
WILLOW SPRING,39.27,0,1460
WILLOW SPRING,39.27,0,1878
GARNER,0.5,3000,0
FUQUAY VARINA,10.59,0,1248
CARY,1.04,0,0
